Town Code,Town Name,Registered,Envelopes,Valid votes,ObÄŤanskĂˇ demokratickĂˇ strana,Ĺ�Ăˇd nĂˇroda - VlasteneckĂˇ unie,CESTA ODPOVÄšDNĂ‰ SPOLEÄŚNOSTI,ÄŚeskĂˇ str.sociĂˇlnÄ› demokrat.,RadostnĂ© ÄŚesko,STAROSTOVĂ‰ A NEZĂ�VISLĂŤ,KomunistickĂˇ str.ÄŚech a Moravy,Strana zelenĂ˝ch,"ROZUMNĂŤ-stop migraci,diktĂˇt.EU",Strana svobodnĂ˝ch obÄŤanĹŻ,Blok proti islam.-Obran.domova,ObÄŤanskĂˇ demokratickĂˇ aliance,ÄŚeskĂˇ pirĂˇtskĂˇ strana,Referendum o EvropskĂ© unii,TOP 09,ANO 2011,DobrĂˇ volba 2016,SPR-Republ.str.ÄŚsl. M.SlĂˇdka,KĹ™esĹĄ.demokr.unie-ÄŚs.str.lid.,ÄŚeskĂˇ strana nĂˇrodnÄ› sociĂˇlnĂ­,REALISTĂ‰,SPORTOVCI,DÄ›lnic.str.sociĂˇlnĂ­ spravedl.,Svob.a pĹ™.dem.-T.Okamura (SPD),Strana PrĂˇv ObÄŤanĹŻ
552194,SlavÄ›tĂ­n,0,8037,4661,359,7,0,401,4,215,451,53,23,45,4,3,415,3,106,1471,2,4,385,2,22,32,6,594,22
569054,Strukov,0,542,362,31,1,0,43,0,17,25,1,0,8,0,1,32,1,10,99,1,1,42,0,4,0,2,39,1
547018,StĹ™eĹ�,0,542,362,31,1,0,43,0,17,25,1,0,8,0,1,32,1,10,99,1,1,42,0,4,0,2,39,1
569771,Suchonice,0,190,105,8,0,0,9,0,7,7,5,5,0,0,0,14,0,2,15,0,0,11,0,1,1,0,20,0
552429,SvĂ©sedlice,0,190,105,8,0,0,9,0,7,7,5,5,0,0,0,14,0,2,15,0,0,11,0,1,1,0,20,0
552011,Ĺ tarnov,0,385,243,22,0,0,27,0,12,8,4,0,3,0,1,42,1,2,61,0,2,17,1,2,1,0,34,0
505161,Ĺ tÄ›pĂˇnov,0,385,243,22,0,0,27,0,12,8,4,0,3,0,1,42,1,2,61,0,2,17,1,2,1,0,34,0
505188,Ĺ ternberk,0,681,422,37,1,0,46,0,13,60,1,5,19,0,0,32,0,6,110,1,0,46,0,3,1,1,36,3
505218,Ĺ umvald,0,2565,1472,84,2,0,122,1,59,146,28,15,11,4,3,129,0,23,507,0,2,76,0,1,4,3,236,8
505269,TÄ›Ĺˇetice,0,311,182,13,0,2,5,0,19,13,3,2,2,0,0,22,0,6,50,0,0,6,0,0,0,1,36,0
